title,url,discounted_price,original_price
12V 5m SMD 3528 30W 300-LED Indoor Strip Light Decoration Lights HLT-398373,https://www.tinydeal.com/12v-5m-smd-3528-30w-300-led-indoor-strip-light-decoration-lights-p-151403.html,$3.26,$6.12 
M165 Mini Bluetooth 4.1 Wireless Earphone with Mic Volume Adjustable for Phone RTH-573956,https://www.tinydeal.com/m165-mini-bluetooth-41-wireless-earphone-with-mic-volume-adjustable-for-phone-p-182813.html,$2.91,$5.63 
Wireless Handsfree Bluetooth 4.1 Headset Stereo Headphone Sunglass Sunglass EVA-549330,https://www.tinydeal.com/wireless-handsfree-bluetooth-41-headset-stereo-headphone-sunglass-sunglass-p-175303.html,$11.08,$11.90 
1/4/10 pcs 3M VHB Double Sided Adhesive Acrylic Foam Tape Scotch Tape RTH-545063,https://www.tinydeal.com/1410-pcs-3m-vhb-double-sided-adhesive-acrylic-foam-tape-scotch-tape--p-173455.html,$2.08,$3.57 
Portable Waterproof Emergency Space Rescue Thermal Foil Mylar Blankets Silver EDT-554213,https://www.tinydeal.com/portable-waterproof-emergency-space-rescue-thermal-foil-mylar-blankets-silver-p-176637.html,$1.92,$2.52 
1 Pair of Silicone Magnetic Losing Weight Toe Rings HBI-13397,https://www.tinydeal.com/1-pair-of-silicone-magnetic-losing-weight-toe-rings-p-12727.html,$0.97,$3.19 
Mini LED Key Finder Locator Find Lost Keys Chain Keychain Whistle Sound Control HHI-534396,https://www.tinydeal.com/mini-led-key-finder-locator-find-lost-keys-chain-keychain-whistle-sound-control-p-170166.html,$1.62,$3.10 
Teeth Whitening Pen Tooth Gel Whitener Bleach HBI-113105,https://www.tinydeal.com/teeth-whitening-pen-tooth-gel-whitener-bleach-p-66709.html,$1.96,$5.83 
3.5mm Stereo Woven Fiber Cloth Line Headset EDT-556403,https://www.tinydeal.com/35mm-stereo-woven-fiber-cloth-line-headset-p-178024.html,$1.27,$4.81 
Lace Floral Women's underwear Sexy Underwear DUW-281317,https://www.tinydeal.com/lace-floral-womens-underwear-sexy-underwear-p-119624.html,$1.70,$1.87 
Universal Micro-USB OTG TF/SD Card Reader for Smartphone Tablet PC ECACR-483880,https://www.tinydeal.com/universal-micro-usb-otg-tfsd-card-reader-for-smartphone-tablet-pc-p-156504.html,$1.16,$2.52 
"Cevapro Cycling Gloves, Touchscreen Winter Gloves Thicken Warm Gloves SBK-559709",https://www.tinydeal.com/cevapro-cycling-gloves-touchscreen-winter-gloves-thicken-warm-gloves-p-178385.html,$6.72,$18.53 
